"Seed"	"Gen 0"	"Gen 1"	"Gen 2"	"Gen 3"	"Gen 4"	"Gen 5"	"Gen 6"	"Gen 7"	"Gen 8"	"Gen 9"	"Gen 10"	"Gen 11"	"Gen 12"	"Gen 13"	"Gen 14"	"Gen 15"	"Gen 16"	"Gen 17"	"Gen 18"	"Gen 19"
"0"	"50,00"	"49,00"	"49,00"	"46,00"	"46,00"	"46,00"	"46,00"	"46,00"	"46,00"	"46,00"	"46,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"
"1"	"46,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"
"2"	"50,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"44,00"	"44,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"42,00"
"3"	"46,00"	"46,00"	"46,00"	"46,00"	"46,00"	"46,00"	"46,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"
"4"	"46,00"	"45,00"	"45,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"
"5"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"
"6"	"46,00"	"46,00"	"46,00"	"46,00"	"46,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"
"7"	"47,00"	"46,00"	"46,00"	"46,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"
"8"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"
"9"	"46,00"	"46,00"	"46,00"	"46,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"
"10"	"45,00"	"45,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"
"11"	"47,00"	"47,00"	"47,00"	"47,00"	"46,00"	"46,00"	"46,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"
"12"	"46,00"	"46,00"	"45,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"
"13"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"
"14"	"46,00"	"46,00"	"46,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"42,00"	"42,00"	"42,00"	"42,00"
"15"	"47,00"	"46,00"	"46,00"	"45,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"
"16"	"49,00"	"43,00"	"43,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"
"17"	"46,00"	"46,00"	"46,00"	"46,00"	"45,00"	"45,00"	"45,00"	"44,00"	"44,00"	"44,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"
"18"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"45,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"	"42,00"
"19"	"46,00"	"46,00"	"46,00"	"46,00"	"46,00"	"46,00"	"45,00"	"45,00"	"45,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"	"43,00"
"Média"	"46,10"	"45,20"	"45,05"	"44,35"	"43,90"	"43,75"	"43,50"	"43,25"	"43,25"	"43,10"	"42,95"	"42,65"	"42,65"	"42,60"	"42,60"	"42,50"	"42,45"	"42,45"	"42,45"	"42,40"
"DesvPadr"	"2,05"	"1,67"	"1,73"	"1,76"	"1,62"	"1,55"	"1,54"	"1,29"	"1,29"	"1,17"	"1,05"	"0,75"	"0,75"	"0,75"	"0,75"	"0,51"	"0,51"	"0,51"	"0,51"	"0,50"
